,0,0.5,0.8
AA2AR,0.0,0.0,--
ABL1,21.0,40.0,71.42857142857143
ACE,42.857142857142854,50.0,54.54545454545454
ACES,12.76595744680851,15.18987341772152,35.483870967741936
ADA,41.0,42.70833333333333,54.54545454545454
ADA17,41.0,52.56410256410257,68.75
ADRB1,65.0,65.0,76.5432098765432
ADRB2,59.09090909090909,59.09090909090909,67.9245283018868
AKT1,46.0,66.66666666666666,85.41666666666666
AKT2,39.682539682539684,46.2962962962963,56.25
AMPC,16.0,16.3265306122449,30.952380952380953
ANDR,46.0,51.11111111111111,81.57894736842105
AOFB,100.0,100.0,100.0
BACE1,19.0,23.75,41.66666666666667
BRAF,38.144329896907216,52.17391304347826,74.35897435897436
CAH2,41.23711340206185,43.01075268817204,49.36708860759494
CASP3,2.2988505747126435,3.571428571428571,0.0
CDK2,35.0,40.69767441860465,54.71698113207547
CP2C9,8.333333333333332,10.0,20.0
CSF1R,24.0,26.666666666666668,46.51162790697674
DEF,50.0,55.55555555555556,68.75
DPP4,23.0,25.555555555555554,42.5531914893617
DYR,23.25581395348837,26.31578947368421,31.914893617021278
EGFR,19.0,25.675675675675674,35.13513513513514
ESR1,47.0,51.89873417721519,64.0
ESR2,52.0,56.52173913043478,68.62745098039215
FA10,67.70833333333334,68.42105263157895,74.68354430379746
FA7,32.0,33.33333333333333,41.0958904109589
FABP4,30.0,30.303030303030305,33.92857142857143
FAK1,40.0,52.054794520547944,63.1578947368421
FKB1A,47.0,50.0,55.319148936170215
FNTA,14.000000000000002,19.444444444444446,31.57894736842105
FPPS,37.0,44.57831325301205,48.38709677419355
GCR,34.0,40.243902439024396,66.66666666666666
GLCM,56.666666666666664,60.0,68.0
GRIA2,53.608247422680414,57.30337078651685,75.43859649122807
GRIK1,36.0,37.89473684210527,50.0
HDAC2,65.0,65.0,75.0
HDAC8,10.0,11.76470588235294,4.545454545454546
HIVINT,15.0,15.384615384615385,80.0
HIVPR,27.27272727272727,30.120481927710845,29.508196721311474
HIVRT,35.714285714285715,41.17647058823529,75.86206896551724
HMDH,78.0,81.25,86.20689655172413
HS90A,32.0,34.44444444444444,47.05882352941176
HXK4,34.0,35.78947368421053,56.60377358490566
IGF1R,14.000000000000002,24.137931034482758,50.0
ITAL,14.000000000000002,19.17808219178082,40.0
JAK2,31.0,37.34939759036144,49.09090909090909
KIF11,62.0,63.26530612244898,77.46478873239437
KIT,20.833333333333336,33.33333333333333,62.5
KITH,50.0,50.0,50.0
LCK,33.0,37.07865168539326,50.0
LKHA4,32.0,33.33333333333333,44.44444444444444
MAPK2,44.0,48.275862068965516,62.22222222222222
MCR,57.99999999999999,59.183673469387756,97.22222222222221
MET,34.0,45.94594594594595,69.76744186046511
MK01,28.000000000000004,35.44303797468354,56.41025641025641
MK10,25.0,32.05128205128205,47.91666666666667
MK14,25.0,30.864197530864196,55.55555555555556
MMP13,25.0,26.595744680851062,36.53846153846153
MP2K1,28.000000000000004,30.58823529411765,34.375
NRAM,61.0,62.244897959183675,80.85106382978722
PA2GA,55.55555555555556,56.33802816901409,69.64285714285714
PARP1,57.99999999999999,57.99999999999999,65.11627906976744
PDE5A,20.0,20.833333333333336,27.86885245901639
PGH1,48.0,50.0,81.57894736842105
PGH2,21.0,21.649484536082475,39.285714285714285
PLK1,54.0,72.0,89.0909090909091
PNPH,28.57142857142857,28.57142857142857,36.0
PPARA,28.999999999999996,29.591836734693878,43.24324324324324
PPARD,22.0,22.68041237113402,31.372549019607842
PPARG,5.0,6.25,11.76470588235294
PRGR,62.0,65.26315789473685,72.41379310344827
PTN1,28.000000000000004,35.8974358974359,57.77777777777777
PUR2,34.04255319148936,38.095238095238095,48.484848484848484
PYGM,9.411764705882353,9.63855421686747,0.0
PYRD,41.0,41.0,90.0
RENI,44.0,50.588235294117645,66.66666666666666
ROCK1,36.0,38.297872340425535,48.484848484848484
RXRA,51.28205128205128,60.0,66.66666666666666
SAHH,50.0,50.0,100.0
SRC,28.000000000000004,38.35616438356164,49.056603773584904
TGFR1,46.0,49.46236559139785,60.9375
THB,81.63265306122449,90.9090909090909,100.0
THRB,62.0,63.26530612244898,68.6046511627907
TRY1,33.33333333333333,35.483870967741936,44.927536231884055
TRYB1,15.151515151515152,15.151515151515152,30.434782608695656
TYSY,25.0,27.848101265822784,50.0
UROK,37.03703703703704,38.46153846153847,43.47826086956522
VGFR2,62.0,65.95744680851064,76.92307692307693
WEE1,69.0,77.52808988764045,85.8974358974359
XIAP,38.0,43.18181818181818,52.112676056338024
